"zip_code","borough","rental_price","neighborhood","date"
10002,"Manhattan",3511.72166245546,"Lower East Side","x2017_08_31"
10002,"Manhattan",3501.43917005619,"Lower East Side","x2017_09_30"
10002,"Manhattan",3452.01940852968,"Lower East Side","x2017_10_31"
10002,"Manhattan",3426.79040075849,"Lower East Side","x2017_11_30"
10002,"Manhattan",3399.45267804562,"Lower East Side","x2017_12_31"
10002,"Manhattan",3428.66606180019,"Lower East Side","x2018_01_31"
10002,"Manhattan",3458.32802796421,"Lower East Side","x2018_02_28"
10002,"Manhattan",3496.41654474406,"Lower East Side","x2018_03_31"
10002,"Manhattan",3529.82885558312,"Lower East Side","x2018_04_30"
10002,"Manhattan",3552.56833752086,"Lower East Side","x2018_05_31"
10002,"Manhattan",3578.84478105415,"Lower East Side","x2018_06_30"
10002,"Manhattan",3595.58777134156,"Lower East Side","x2018_07_31"
10002,"Manhattan",3594.50879206935,"Lower East Side","x2018_08_31"
10002,"Manhattan",3574.85889651546,"Lower East Side","x2018_09_30"
10002,"Manhattan",3537.63960869013,"Lower East Side","x2018_10_31"
10002,"Manhattan",3531.7686909512,"Lower East Side","x2018_11_30"
10002,"Manhattan",3533.45835473353,"Lower East Side","x2018_12_31"
10002,"Manhattan",3526.23577468703,"Lower East Side","x2019_01_31"
10002,"Manhattan",3526.4039354269,"Lower East Side","x2019_02_28"
10002,"Manhattan",3526.95036315111,"Lower East Side","x2019_03_31"
10002,"Manhattan",3572.30170884659,"Lower East Side","x2019_04_30"
10002,"Manhattan",3609.850104479,"Lower East Side","x2019_05_31"
10002,"Manhattan",3656.62100117891,"Lower East Side","x2019_06_30"
10002,"Manhattan",3679.82546488838,"Lower East Side","x2019_07_31"
10002,"Manhattan",3700.0257508165,"Lower East Side","x2019_08_31"
10002,"Manhattan",3709.16403139227,"Lower East Side","x2019_09_30"
10002,"Manhattan",3706.94289128565,"Lower East Side","x2019_10_31"
10002,"Manhattan",3655.88364214173,"Lower East Side","x2019_11_30"
10002,"Manhattan",3651.81463939238,"Lower East Side","x2019_12_31"
10002,"Manhattan",3645.41620792626,"Lower East Side","x2020_01_31"
10002,"Manhattan",3708.01912095037,"Lower East Side","x2020_02_29"
10002,"Manhattan",3687.8807959836,"Lower East Side","x2020_03_31"
10002,"Manhattan",3661.47668010525,"Lower East Side","x2020_04_30"
10002,"Manhattan",3608.69277989967,"Lower East Side","x2020_05_31"
10002,"Manhattan",3554.01173177775,"Lower East Side","x2020_06_30"
10002,"Manhattan",3488.81849338527,"Lower East Side","x2020_07_31"
10002,"Manhattan",3358.30973110173,"Lower East Side","x2020_08_31"
10002,"Manhattan",3213.05196833733,"Lower East Side","x2020_09_30"
10002,"Manhattan",3073.32084615348,"Lower East Side","x2020_10_31"
10002,"Manhattan",2981.09199359003,"Lower East Side","x2020_11_30"
10002,"Manhattan",2944.44802050199,"Lower East Side","x2020_12_31"
10002,"Manhattan",2935.11339460364,"Lower East Side","x2021_01_31"
10002,"Manhattan",2963.27064699188,"Lower East Side","x2021_02_28"
10002,"Manhattan",3010.79862596376,"Lower East Side","x2021_03_31"
10002,"Manhattan",3107.30560201162,"Lower East Side","x2021_04_30"
10002,"Manhattan",3247.41941153666,"Lower East Side","x2021_05_31"
10002,"Manhattan",3417.4820446656,"Lower East Side","x2021_06_30"
10002,"Manhattan",3581.56631925886,"Lower East Side","x2021_07_31"
10002,"Manhattan",3715.09798755982,"Lower East Side","x2021_08_31"
10002,"Manhattan",3797.3543783876,"Lower East Side","x2021_09_30"
10002,"Manhattan",3843.68530301342,"Lower East Side","x2021_10_31"
10002,"Manhattan",3884.16778000455,"Lower East Side","x2021_11_30"
10002,"Manhattan",3901.76760633962,"Lower East Side","x2021_12_31"
10002,"Manhattan",3952.84453378244,"Lower East Side","x2022_01_31"
10002,"Manhattan",3978.72975388874,"Lower East Side","x2022_02_28"
10002,"Manhattan",4045.8858569559,"Lower East Side","x2022_03_31"
10002,"Manhattan",4097.71142612646,"Lower East Side","x2022_04_30"
10002,"Manhattan",4170.67305061524,"Lower East Side","x2022_05_31"
10002,"Manhattan",4226.10033055909,"Lower East Side","x2022_06_30"
10002,"Manhattan",4278.98707398888,"Lower East Side","x2022_07_31"
10002,"Manhattan",4322.47666790202,"Lower East Side","x2022_08_31"
10002,"Manhattan",4335.63750644828,"Lower East Side","x2022_09_30"
10002,"Manhattan",4312.32825170649,"Lower East Side","x2022_10_31"
10002,"Manhattan",4223.12707574231,"Lower East Side","x2022_11_30"
10002,"Manhattan",4158.82851988862,"Lower East Side","x2022_12_31"
10002,"Manhattan",4125.42996678682,"Lower East Side","x2023_01_31"
10002,"Manhattan",4140.67576848757,"Lower East Side","x2023_02_28"
10002,"Manhattan",4157.46913916953,"Lower East Side","x2023_03_31"
10002,"Manhattan",4193.39505830736,"Lower East Side","x2023_04_30"
10002,"Manhattan",4244.58689794343,"Lower East Side","x2023_05_31"
10002,"Manhattan",4316.50087110466,"Lower East Side","x2023_06_30"
10002,"Manhattan",4336.53307549963,"Lower East Side","x2023_07_31"
10002,"Manhattan",4347.14751012411,"Lower East Side","x2023_08_31"
10002,"Manhattan",4332.83350603741,"Lower East Side","x2023_09_30"
10002,"Manhattan",4294.7168425098,"Lower East Side","x2023_10_31"
10002,"Manhattan",4224.44593637747,"Lower East Side","x2023_11_30"
10002,"Manhattan",4139.87714416844,"Lower East Side","x2023_12_31"
10002,"Manhattan",4136.03156984133,"Lower East Side","x2024_01_31"
10002,"Manhattan",4197.5001722208,"Lower East Side","x2024_02_29"
10002,"Manhattan",4279.03504060575,"Lower East Side","x2024_03_31"
10002,"Manhattan",4316.48098573876,"Lower East Side","x2024_04_30"
10002,"Manhattan",4346.5861581798,"Lower East Side","x2024_05_31"
10002,"Manhattan",4391.30662939458,"Lower East Side","x2024_06_30"
10002,"Manhattan",4430.33993067311,"Lower East Side","x2024_07_31"
10002,"Manhattan",4416.18840637583,"Lower East Side","x2024_08_31"
10003,"Manhattan",3229.09954625721,"Lower East Side","x2015_01_31"
10003,"Manhattan",3225.80082724118,"Lower East Side","x2015_02_28"
10003,"Manhattan",3251.30796438467,"Lower East Side","x2015_03_31"
10003,"Manhattan",3304.62058368742,"Lower East Side","x2015_04_30"
10003,"Manhattan",3344.91774885978,"Lower East Side","x2015_05_31"
10003,"Manhattan",3369.38229211877,"Lower East Side","x2015_06_30"
10003,"Manhattan",3375.80572892909,"Lower East Side","x2015_07_31"
10003,"Manhattan",3381.36546020693,"Lower East Side","x2015_08_31"
10003,"Manhattan",3363.12160258381,"Lower East Side","x2015_09_30"
10003,"Manhattan",3342.91576012429,"Lower East Side","x2015_10_31"
10003,"Manhattan",3312.5709681943,"Lower East Side","x2015_11_30"
10003,"Manhattan",3313.48694490493,"Lower East Side","x2015_12_31"
10003,"Manhattan",3326.46170192848,"Lower East Side","x2016_01_31"
10003,"Manhattan",3329.88754054884,"Lower East Side","x2016_02_29"
10003,"Manhattan",3347.24722349952,"Lower East Side","x2016_03_31"
10003,"Manhattan",3349.36033849992,"Lower East Side","x2016_04_30"
